X,Y,label
14.371465,-5.836086,4
-7.678448,-2.6085277,0
-10.063156,-13.0613785,0
-7.699564,-11.590581,0
-13.219472,0.57744473,0
-10.724981,0.05743615,0
-9.760817,-0.4858865,0
13.830497,-5.35421,5
-21.750214,-3.1842382,4
-10.919167,-6.914054,0
-7.840021,0.57584023,0
-13.222829,-5.1224756,0
13.524239,-5.7130556,5
-8.436434,-13.326912,0
13.723379,-7.013866,4
-8.806882,-1.331667,0
13.44291,-4.194153,5
-13.163279,-4.7093377,0
-12.124345,-13.179979,0
3.4401062,2.4308438,0
-8.086399,-5.2432528,0
-16.905836,-4.962528,0
-16.233885,-0.01022736,4
-13.944742,-3.0364761,0
-1.4923681,-6.8054056,3
-6.3210993,-0.48030487,0
-14.346662,-4.9119496,0
-3.1832786,-4.5273123,3
-2.4100153,-4.3939543,3
-10.069585,-13.7304,0
-6.5378323,-2.4409957,0
-16.083727,1.2712574,0
-10.085222,0.38536546,0
7.3136644,-3.5759263,0
-9.202835,0.47334492,0
-7.006592,1.7593914,0
-6.0484467,-1.8795416,0
-13.284804,-12.414455,0
-12.533819,-14.6693945,0
-16.25613,-5.101427,0
-13.355434,-2.6297274,0
-14.806554,-1.7464514,0
-14.537965,-6.321711,0
-11.193929,1.6105827,0
-11.084825,2.5590367,3
-11.298975,-0.55915874,0
-18.906431,0.13651173,3
-8.222629,-0.56251806,0
-8.289588,-1.64097,0
-19.658928,-4.150756,4
9.311428,-4.1395874,0
-14.879342,-3.131152,0
-16.681787,0.13036558,4
-18.45415,-1.3217633,4
-9.855633,2.2215037,0
-18.869583,-4.6748805,0
-9.8369665,2.0132556,0
-16.53086,-5.9186034,0
-19.09845,-3.5560112,4
-10.465937,-6.4455943,0
-20.594616,-3.633951,4
6.418804,-3.386978,0
-9.728104,-2.0501027,0
7.892514,-2.6724098,0
-17.238213,-5.063821,0
-8.673384,-5.404309,0
-10.072693,1.1873776,0
-16.726992,-3.8588505,0
-12.824382,-0.217958,0
-8.630173,-9.142571,0
-20.386362,-5.389924,4
-7.52702,-2.3332355,0
-14.0597315,-3.9161577,0
-15.661118,-2.8858576,0
7.8737516,-2.7926967,0
-15.276823,-5.9205976,0
-9.651071,-1.1592462,0
-18.64567,-3.7962112,4
6.574968,-3.8420303,0
-17.935514,-2.8630228,4
-8.691516,0.9401148,0
-11.8704195,-1.3574638,0
14.93063,-5.3103604,4
-13.032604,-20.344511,5
3.5441225,-2.1749694,3
2.4422271,-2.7141874,3
-0.5516863,-5.9781594,3
0.20941977,-3.7159102,3
-0.46002355,-5.631146,3
0.51606035,-3.6639485,3
3.0811443,-2.728516,3
0.13042854,-4.0315123,3
1.861392,-3.0736804,3
3.22599,-2.4398355,3
