day,regionP,time,onVolume,offVolume
3,2,16,1360,1403
3,2,17,1747,1743
3,2,18,1917,1729
3,2,19,1953,1765
3,2,20,2090,1871
3,2,21,2244,1984
3,2,22,2229,1813
3,2,23,1853,1252
3,3,0,924,993
3,3,1,1059,754
3,3,2,902,714
3,3,3,513,384
3,3,4,421,374
3,3,5,1838,1270
3,3,6,2215,1240
3,3,7,2661,1956
3,3,8,2153,1855
3,3,9,1872,1647
3,3,10,1757,1663
3,3,11,1734,1664
3,3,12,1855,1726
3,3,13,1855,1742
3,3,14,1784,1603
3,3,15,1630,1342
3,3,16,1699,1601
3,3,17,1725,1751
3,3,18,1657,1721
3,3,19,1682,1683
3,3,20,1497,1511
3,3,21,1343,1348
3,3,22,1321,1285
3,3,23,1250,906
3,4,0,1271,1718
3,4,1,1497,1634
3,4,2,1062,1237
3,4,3,653,900
3,4,4,464,706
3,4,5,707,1187
3,4,6,854,955
3,4,7,1341,1420
3,4,8,1482,1550
3,4,9,1376,1416
3,4,10,1340,1330
3,4,11,1479,1352
3,4,12,1512,1423
3,4,13,1577,1490
3,4,14,1447,1349
3,4,15,1354,1300
3,4,16,1448,1463
3,4,17,1549,1564
3,4,18,1692,1691
3,4,19,1990,1802
3,4,20,1852,1717
3,4,21,1955,1768
3,4,22,1883,1790
3,4,23,1548,1192
3,5,0,1037,1102
3,5,1,928,748
3,5,2,749,627
3,5,3,379,287
3,5,4,286,262
3,5,5,568,646
3,5,6,733,526
3,5,7,1080,954
3,5,8,1358,1160
3,5,9,1839,1527
3,5,10,2017,1726
3,5,11,2045,1902
3,5,12,2030,1897
3,5,13,1868,1822
3,5,14,1811,1689
3,5,15,1553,1438
3,5,16,1379,1333
3,5,17,1636,1600
3,5,18,1890,1757
3,5,19,1732,1634
3,5,20,1657,1636
3,5,21,1703,1615
3,5,22,1487,1295
3,5,23,1214,849
4,0,0,1753,2456
4,0,1,1673,1808
4,0,2,1419,1539
4,0,3,737,738
4,0,4,746,652
4,0,5,1327,1779
4,0,6,1204,1469
4,0,7,1888,2257
4,0,8,2773,3328
4,0,9,3097,3487
4,0,10,3320,3591
4,0,11,3650,3679
